122,200,2023-10-29,2738,2023-11-05 11:00:00 UTC
123,200,2023-10-30,3217,2023-11-05 11:00:00 UTC
124,200,2023-10-31,4193,2023-11-05 11:00:00 UTC
125,200,2023-11-01,2931,2023-11-05 11:00:00 UTC
126,200,2023-11-02,2017,2023-11-05 11:00:00 UTC
127,200,2023-11-03,1936,2023-11-05 11:00:00 UTC
128,200,2023-11-04,2813,2023-11-05 11:00:00 UTC
129,300,2023-10-29,3737,2023-11-05 11:00:00 UTC
130,300,2023-10-30,4216,2023-11-05 11:00:00 UTC
131,300,2023-10-31,5192,2023-11-05 11:00:00 UTC
132,300,2023-11-01,3930,2023-11-05 11:00:00 UTC
133,300,2023-11-03,2935,2023-11-05 11:00:00 UTC
134,300,2023-11-04,5224,2023-11-05 11:00:00 UTC
135,200,2023-10-30,3281,2023-11-06 11:00:00 UTC
136,200,2023-10-31,5162,2023-11-06 11:00:00 UTC
137,200,2023-11-01,2931,2023-11-06 11:00:00 UTC
138,200,2023-11-02,2021,2023-11-06 11:00:00 UTC
139,200,2023-11-03,2007,2023-11-06 11:00:00 UTC
140,200,2023-11-04,2813,2023-11-06 11:00:00 UTC
141,200,2023-11-05,2703,2023-11-06 11:00:00 UTC
142,300,2023-10-30,4274,2023-11-06 11:00:00 UTC
143,300,2023-10-31,5003,2023-11-06 11:00:00 UTC
144,300,2023-11-01,3930,2023-11-06 11:00:00 UTC
145,300,2023-11-03,3810,2023-11-06 11:00:00 UTC
146,300,2023-11-05,3702,2023-11-06 11:00:00 UTC
147,300,2023-11-02,0,2023-11-05 11:00:00 UTC
148,300,2023-11-02,0,2023-11-06 11:00:00 UTC
